State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Max AQI,Median AQI,Pct_Good,Pct_Unhealthy
California,Del Norte,2025,90,71,19,0,0,70,35,0.7888888888888889,0.0
California,El Dorado,2025,90,90,0,0,0,43,32,1.0,0.0
California,Fresno,2025,181,85,89,7,0,147,52,0.4696132596685083,0.03867403314917127
California,Glenn,2025,59,45,14,0,0,74,37,0.7627118644067796,0.0
California,Humboldt,2025,180,151,29,0,0,75,35,0.8388888888888889,0.0
California,Imperial,2025,100,53,46,1,0,103,49,0.53,0.01
California,Inyo,2025,118,48,68,1,1,163,54,0.4067796610169492,0.01694915254237288
California,Kern,2025,151,53,96,2,0,105,55,0.3509933774834437,0.013245033112582781
California,Kings,2025,90,40,49,1,0,103,52,0.4444444444444444,0.011111111111111112
California,Lake,2025,17,17,0,0,0,29,14,1.0,0.0
California,Los Angeles,2025,152,24,104,17,7,182,64,0.15789473684210525,0.15789473684210525
California,Madera,2025,90,58,32,0,0,91,42,0.6444444444444445,0.0
California,Mariposa,2025,114,108,6,0,0,61,44,0.9473684210526315,0.0
California,Merced,2025,90,58,32,0,0,78,43,0.6444444444444445,0.0
California,Mono,2025,90,80,9,1,0,104,24,0.8888888888888888,0.011111111111111112
California,Monterey,2025,182,141,41,0,0,62,40,0.7747252747252747,0.0
California,Nevada,2025,90,87,3,0,0,65,41,0.9666666666666667,0.0
California,Orange,2025,152,70,79,2,1,159,52,0.4605263157894737,0.019736842105263157
California,Placer,2025,120,77,43,0,0,73,46,0.6416666666666667,0.0
California,Plumas,2025,101,23,74,4,0,111,66,0.22772277227722773,0.039603960396039604
California,Riverside,2025,152,28,92,24,7,365,67,0.18421052631578946,0.20394736842105263
California,Sacramento,2025,150,109,41,0,0,84,40,0.7266666666666667,0.0
California,San Benito,2025,181,169,12,0,0,62,39,0.9337016574585635,0.0
California,San Bernardino,2025,152,36,94,19,3,169,64,0.23684210526315788,0.14473684210526316
California,San Diego,2025,183,107,75,1,0,103,47,0.5846994535519126,0.00546448087431694
California,San Joaquin,2025,90,52,38,0,0,93,48,0.5777777777777777,0.0
California,San Luis Obispo,2025,90,40,50,0,0,68,52,0.4444444444444444,0.0
California,Santa Barbara,2025,91,33,57,0,1,186,52,0.3626373626373626,0.01098901098901099
California,Santa Cruz,2025,181,148,33,0,0,71,37,0.8176795580110497,0.0
California,Shasta,2025,126,115,11,0,0,62,43,0.9126984126984127,0.0
California,Solano,2025,100,100,0,0,0,45,34,1.0,0.0
California,Sonoma,2025,90,90,0,0,0,39,9,1.0,0.0
California,Stanislaus,2025,127,84,43,0,0,87,44,0.6614173228346457,0.0
California,Sutter,2025,59,32,27,0,0,85,48,0.5423728813559322,0.0
California,Tehama,2025,90,84,6,0,0,67,25,0.9333333333333333,0.0
California,Trinity,2025,81,34,47,0,0,83,54,0.41975308641975306,0.0
California,Tulare,2025,125,59,65,1,0,104,52,0.472,0.008
California,Tuolumne,2025,58,58,0,0,0,44,35,1.0,0.0
California,Ventura,2025,151,88,62,1,0,125,48,0.5827814569536424,0.006622516556291391
California,Yolo,2025,103,71,32,0,0,82,42,0.6893203883495146,0.0
Colorado,Adams,2025,181,101,79,1,0,112,49,0.5580110497237569,0.0055248618784530384
Colorado,Alamosa,2025,151,144,7,0,0,76,21,0.9536423841059603,0.0
Colorado,Arapahoe,2025,181,101,78,2,0,101,49,0.5580110497237569,0.011049723756906077
Colorado,Archuleta,2025,150,150,0,0,0,47,25,1.0,0.0
Colorado,Boulder,2025,181,107,73,1,0,101,48,0.5911602209944752,0.0055248618784530384
Colorado,Clear Creek,2025,179,112,67,0,0,100,48,0.6256983240223464,0.0
Colorado,Denver,2025,182,92,87,3,0,115,50,0.5054945054945055,0.016483516483516484
Colorado,Douglas,2025,181,116,63,2,0,115,48,0.6408839779005525,0.011049723756906077
Colorado,El Paso,2025,181,118,63,0,0,97,47,0.6519337016574586,0.0
