place_fips,place_name,state,pop_2010,asthma_prev,copd_prev,chd_prev,stroke_prev,smoking_prev,diabetes_prev,inactivity_prev,phlth_prev,mhlth_prev,year
0652526,Norwalk,CA,,7.9,5.0,5.3,2.8,12.9,11.3,23.6,12.8,12.0,2018
2642160,Kalamazoo,MI,,11.8,8.9,7.0,4.0,21.2,11.9,25.2,15.6,15.1,2018
1765000,Rockford,IL,,10.5,7.8,6.7,3.7,23.3,11.3,30.0,14.9,14.0,2018
4561405,Rock Hill,SC,,9.7,7.2,6.3,3.6,20.7,12.0,30.9,14.1,14.5,2018
1973335,Sioux City,IA,,8.6,6.4,6.3,3.2,20.1,9.9,26.5,12.2,12.6,2018
1712385,Champaign,IL,,9.2,5.6,5.5,2.8,16.3,9.3,23.0,11.0,11.1,2018
0427400,Gilbert,AZ,,9.1,4.6,4.8,2.2,13.6,7.3,17.0,9.5,10.4,2018
2079000,Wichita,KS,,9.6,6.6,6.5,3.2,22.3,10.3,26.9,11.8,12.1,2018
0613214,Chino Hills,CA,,7.6,3.7,4.2,2.0,10.1,8.5,16.4,8.6,9.3,2018
0649270,Moreno Valley,CA,,9.1,6.0,6.2,3.4,15.9,12.0,27.0,14.0,13.2,2018
0668196,San Marcos,CA,,8.3,5.3,5.2,2.7,13.4,8.9,18.8,11.1,12.1,2018
4829000,Garland,TX,,9.0,6.3,6.5,3.3,17.9,11.7,29.8,12.8,12.7,2018
1230000,Hialeah,FL,,7.0,6.5,7.1,3.6,16.4,14.2,45.3,15.9,13.6,2018
4806128,Baytown,TX,,9.0,6.6,6.7,3.3,17.4,12.1,29.8,13.7,13.2,2018
2935000,Independence,MO,,10.2,8.5,6.5,3.3,25.4,9.9,24.4,14.5,15.2,2018
0151000,Montgomery,AL,,10.3,8.2,6.9,4.2,21.1,13.9,30.0,14.6,14.3,2018
5335275,Kennewick,WA,,10.6,7.1,6.3,3.2,18.2,10.2,20.3,13.7,13.5,2018
0678582,Thousand Oaks,CA,,8.1,4.4,4.5,2.1,11.3,7.1,15.4,8.9,10.0,2018
0412000,Chandler,AZ,,9.3,4.9,5.0,2.4,14.1,8.0,19.0,10.3,10.8,2018
0812815,Centennial,CO,,7.9,3.7,4.0,1.9,12.6,5.1,11.9,7.4,9.0,2018
1216475,Davie,FL,,7.2,5.8,5.5,2.6,15.1,9.1,24.9,11.2,11.9,2018
5363000,Seattle,WA,,8.9,4.3,4.7,2.4,10.4,7.9,13.4,9.0,9.8,2018
2751730,Plymouth,MN,,7.3,3.1,4.1,1.9,12.1,5.6,12.7,6.7,7.9,2018
3563460,Rio Rancho,NM,,9.7,5.2,5.1,2.6,15.7,8.5,16.0,11.7,11.7,2018
4263624,Reading,PA,,11.7,9.7,8.7,4.9,24.4,16.3,39.8,19.7,18.0,2018
0446000,Mesa,AZ,,10.1,6.4,6.0,3.0,17.8,9.2,23.2,12.8,13.0,2018
1217200,Deltona,FL,,8.3,8.2,6.9,3.3,21.1,11.3,33.7,14.7,14.5,2018
4159000,Portland,OR,,9.5,5.3,5.4,2.7,16.0,8.3,14.6,10.4,11.8,2018
1772000,Springfield,IL,,10.0,6.8,6.0,3.1,20.8,9.6,25.0,12.7,12.6,2018
2148006,Louisville,KY,,12.3,9.1,7.7,3.5,23.3,11.0,26.1,13.9,14.3,2018
0541000,Little Rock,AR,,9.3,6.7,6.3,3.4,19.7,11.4,28.9,13.9,14.0,2018
1871000,South Bend,IN,,11.5,8.7,7.3,4.1,25.4,13.2,32.3,15.7,15.1,2018
2360545,Portland,ME,,11.4,6.2,5.7,2.8,16.4,8.3,17.9,10.9,12.7,2018
0937000,Hartford,CT,,12.3,7.8,7.3,4.5,20.5,16.0,36.7,16.6,15.2,2018
3712000,Charlotte,NC,,8.5,5.7,5.7,3.2,16.4,10.2,19.7,10.7,11.5,2018
1077580,Wilmington,DE,,10.7,7.6,6.6,4.4,23.6,14.2,33.2,14.3,14.4,2018
1257425,Plantation,FL,,7.4,5.4,5.1,2.6,14.2,8.9,23.0,10.4,11.3,2018
0659920,Redding,CA,,9.6,6.9,6.0,3.1,17.9,8.8,20.0,12.7,13.8,2018
4801000,Abilene,TX,,9.2,6.8,6.5,3.3,21.4,11.4,28.7,13.6,13.1,2018
2629000,Flint,MI,,13.5,11.7,9.0,5.8,29.8,16.6,35.6,19.9,18.2,2018
0404720,Avondale,AZ,,9.9,6.1,6.2,3.2,17.0,11.2,26.6,13.7,12.9,2018
0633000,Hayward,CA,,8.8,4.9,5.1,2.7,14.4,10.4,21.5,11.4,11.6,2018
4827000,Fort Worth,TX,,9.5,6.5,6.4,3.5,18.8,13.1,31.1,13.4,12.6,2018
0630000,Glendale,CA,,8.4,5.5,5.0,2.7,13.6,8.6,18.0,11.3,11.9,2018
3702140,Asheville,NC,,8.3,5.9,5.7,2.9,17.1,8.9,19.2,10.8,12.0,2018
4943660,Layton,UT,,8.6,4.7,5.0,2.5,9.1,8.7,18.9,10.8,11.1,2018
4856348,Pearland,TX,,7.9,4.2,4.8,2.2,13.1,8.9,20.0,9.1,9.5,2018
4224000,Erie,PA,,11.2,8.5,7.4,4.0,24.5,11.6,28.7,15.3,15.9,2018
1738570,Joliet,IL,,9.7,6.7,6.2,3.2,19.8,10.6,28.6,13.3,12.2,2018
0680238,Tracy,CA,,8.7,5.2,5.3,2.6,13.5,9.5,21.3,11.4,11.8,2018
1342425,Johns Creek,GA,,6.8,3.8,4.2,1.9,10.9,7.1,18.0,7.4,8.4,2018
3734200,Jacksonville,NC,,8.4,6.5,6.3,3.4,20.6,11.0,24.4,12.6,13.3,2018
1921000,Des Moines,IA,,8.6,6.3,6.3,3.2,21.9,10.2,25.2,11.9,12.5,2018
2674900,Southfield,MI,,11.4,6.2,5.6,3.5,18.6,11.4,23.2,12.1,12.2,2018
4202000,Allentown,PA,,10.7,8.0,7.4,3.9,21.9,13.3,32.0,16.0,15.5,2018
3649121,Mount Vernon,NY,,12.4,6.5,5.7,3.7,17.9,12.1,29.8,13.1,12.7,2018
1238250,Lakeland,FL,,8.7,8.1,6.8,3.8,20.3,11.5,30.9,14.8,14.1,2018
0622020,Elk Grove,CA,,8.9,4.6,4.8,2.4,12.6,8.9,18.5,10.1,10.7,2018
0454050,Peoria,AZ,,9.7,5.5,5.3,2.6,15.9,8.1,20.0,11.1,11.7,2018
5168000,Roanoke,VA,,9.9,7.7,6.5,3.7,21.9,11.4,26.8,13.6,14.0,2018
1245060,Miami Gardens,FL,,9.3,7.6,6.6,4.7,20.5,14.5,41.2,14.8,14.2,2018
1303440,Athens,GA,,9.3,7.8,6.6,4.0,20.8,12.7,31.2,13.9,13.9,2018
